,Median List Price SizeRank,Median List Price RegionName,Median List Price 2018-08-31,Median List Price 2018-09-30,Median List Price 2018-10-31,Median List Price 2018-11-30,Median List Price 2018-12-31,Median List Price 2019-01-31,Median List Price 2019-02-28,Median List Price 2019-03-31,Median List Price 2019-04-30,Median List Price 2019-05-31,Median List Price 2019-06-30,Median List Price 2019-07-31,Median List Price 2019-08-31,Median List Price 2019-09-30,Median List Price 2019-10-31,Median List Price 2019-11-30,Median List Price 2019-12-31,Median List Price 2020-01-31,Median List Price 2020-02-29,Median List Price 2020-03-31,Median List Price 2020-04-30,Median List Price 2020-05-31,Median List Price 2020-06-30,Median List Price 2020-07-31,Median List Price 2020-08-31,Median List Price 2020-09-30,Median List Price 2020-10-31,Median List Price 2020-11-30,Median List Price 2020-12-31,Median List Price 2021-01-31,Median List Price 2021-02-28,Median List Price 2021-03-31,Median List Price 2021-04-30,Median List Price 2021-05-31,Median List Price 2021-06-30,Median List Price 2021-07-31,Median List Price 2021-08-31,Median List Price 2021-09-30,Median List Price 2021-10-31,Median List Price 2021-11-30,Median List Price 2021-12-31,Median List Price 2022-01-31,Median List Price 2022-02-28,Median List Price 2022-03-31,Median List Price 2022-04-30,Median List Price 2022-05-31,Median List Price 2022-06-30,Median List Price 2022-07-31,Median List Price 2022-08-31,Median List Price 2022-09-30,Median List Price 2022-10-31,Median List Price 2022-11-30,Median List Price 2022-12-31,Median List Price 2023-01-31
0,0,United States,279633.0,279600.0,279300.0,278933.0,277300.0,275967.0,276633.0,281300.0,287967.0,294567.0,297900.0,298900.0,297000.0,294833.0,292133.0,290467.0,287933.0,284933.0,285233.0,289600.0,295633.0,299000.0,303967.0,309300.0,314300.0,315300.0,315300.0,313633.0,309967.0,304967.0,307967.0,314667.0,326333.0,333333.0,339407.0,341073.0,340740.0,339667.0,339633.0,338300.0,333600.0,330300.0,335267.0,346633.0,362967.0,376300.0,387967.0,393300.0,393300.0,391300.0,386633.0,381667.0,375733.0,371900.0
1,1,"New York, NY",526600.0,526267.0,527600.0,529000.0,527667.0,524667.0,524667.0,528000.0,537667.0,544333.0,549000.0,547667.0,544333.0,544333.0,545667.0,549000.0,549300.0,549300.0,549300.0,552333.0,555967.0,559300.0,561300.0,566333.0,574967.0,584967.0,592967.0,597967.0,599600.0,596600.0,594967.0,594667.0,597667.0,598667.0,595633.0,589267.0,579600.0,574633.0,574333.0,576333.0,576333.0,576667.0,584550.0,592550.0,603550.0,610667.0,617667.0,613330.0,606330.0,599663.0,606333.0,612999.0,619333.0,619333.0
2,2,"Los Angeles, CA",742967.0,736267.0,728267.0,724633.0,719667.0,711300.0,711600.0,716267.0,732633.0,742667.0,752933.0,756567.0,759233.0,758967.0,758667.0,762333.0,765667.0,767667.0,771298.0,779965.0,787965.0,794333.0,802333.0,816000.0,826000.0,829633.0,831300.0,838294.0,844661.0,849327.0,849296.0,849629.0,856296.0,864667.0,874667.0,874667.0,866333.0,856333.0,850000.0,850000.0,850000.0,856633.0,871633.0,888263.0,904963.0,916596.0,924967.0,920633.0,910333.0,901667.0,897667.0,894333.0,887667.0,882646.0
3,3,"Chicago, IL",297933.0,296117.0,292783.0,288483.0,283333.0,280000.0,284300.0,291267.0,301267.0,306300.0,309467.0,306465.0,302798.0,298998.0,295633.0,290967.0,284933.0,281633.0,284967.0,291633.0,297967.0,299600.0,301300.0,304633.0,307667.0,309300.0,306300.0,303267.0,298267.0,296567.0,299900.0,304933.0,309966.0,311666.0,313333.0,313000.0,307967.0,302933.0,299263.0,295930.0,289263.0,284933.0,287967.0,297667.0,309300.0,317967.0,323300.0,324967.0,322967.0,319967.0,314967.0,308600.0,302933.0,299300.0
4,4,"Dallas, TX",324202.0,321168.0,318966.0,317633.0,315999.0,313333.0,313667.0,316967.0,323633.0,328467.0,330133.0,328467.0,324966.0,321633.0,319933.0,319600.0,317967.0,314667.0,313633.0,315267.0,318600.0,321633.0,325633.0,330600.0,333233.0,334267.0,332633.0,331600.0,328600.0,328559.0,330293.0,335926.0,342633.0,350967.0,359667.0,367829.0,371159.0,373159.0,373330.0,376633.0,378300.0,381633.0,388000.0,394667.0,407333.0,419330.0,432663.0,438297.0,434967.0,428300.0,419000.0,410667.0,403667.0,398000.0
5,5,"Houston, TX",297800.0,296165.0,293132.0,291632.0,289933.0,288300.0,289965.0,292665.0,297632.0,299300.0,299933.0,298966.0,295633.0,292316.0,289316.0,287650.0,286000.0,283333.0,284333.0,287666.0,293166.0,297133.0,301132.0,303966.0,307299.0,309967.0,313275.0,314308.0,314308.0,313666.0,315999.0,317666.0,323000.0,327667.0,332667.0,334667.0,333333.0,333333.0,333233.0,333233.0,331233.0,328000.0,328000.0,333650.0,343650.0,356317.0,364167.0,367500.0,364500.0,358000.0,352997.0,349663.0,347122.0,343792.0
6,6,"Washington, DC",434933.0,428300.0,423300.0,420000.0,411633.0,404633.0,405633.0,415667.0,430967.0,441600.0,448233.0,448233.0,443233.0,442083.0,440450.0,441783.0,435967.0,430967.0,433000.0,443300.0,454967.0,461633.0,466667.0,471633.0,471600.0,467479.0,461049.0,456049.0,447137.0,438600.0,436967.0,443333.0,458333.0,468333.0,476633.0,474967.0,471633.0,470000.0,471667.0,469667.0,457967.0,449600.0,456267.0,476300.0,501333.0,521333.0,533083.0,533083.0,526717.0,523300.0,521633.0,518300.0,509800.0,503100.0
7,7,"Miami, FL",369267.0,367967.0,366333.0,367667.0,367833.0,366167.0,363167.0,361667.0,364667.0,368500.0,371833.0,373833.0,375000.0,374967.0,374933.0,374933.0,374967.0,374967.0,374367.0,374367.0,374400.0,373333.0,373300.0,371633.0,373133.0,373166.0,376467.0,377967.0,377967.0,375333.0,374000.0,375633.0,381600.0,389600.0,397967.0,408000.0,416667.0,423333.0,426667.0,431667.0,439667.0,446300.0,452967.0,463300.0,480000.0,503333.0,526333.0,543000.0,546300.0,546300.0,545967.0,549000.0,549000.0,545667.0
8,8,"Philadelphia, PA",251633.0,249933.0,249600.0,247300.0,242333.0,236000.0,234333.0,239000.0,248967.0,259600.0,266600.0,269933.0,268300.0,268267.0,268267.0,268233.0,263233.0,256600.0,256600.0,261600.0,269266.0,275800.0,284133.0,291467.0,293267.0,291300.0,289300.0,287667.0,283000.0,276633.0,273300.0,274967.0,284667.0,292967.0,299600.0,299600.0,297967.0,297300.0,294300.0,290933.0,283267.0,278267.0,277883.0,285917.0,297583.0,309333.0,316333.0,318000.0,314967.0,311600.0,308233.0,304900.0,298263.0,293297.0
9,9,"Atlanta, GA",292000.0,288667.0,284667.0,283000.0,279666.0,277966.0,279600.0,283733.0,292100.0,299767.0,304540.0,304507.0,301540.0,298967.0,296667.0,294633.0,291933.0,290600.0,291300.0,294333.0,297667.0,299333.0,303000.0,308333.0,313333.0,316333.0,314667.0,312333.0,307667.0,307638.0,309971.0,316638.0,326667.0,338300.0,346633.0,349933.0,348883.0,348883.0,348883.0,349933.0,347567.0,346133.0,346167.0,351833.0,362050.0,375350.0,387383.0,391933.0,388600.0,381600.0,376600.0,371633.0,366600.0,359967.0
10,10,"Phoenix, AZ",321600.0,319900.0,319867.0,318600.0,319600.0,320967.0,323967.0,325167.0,327167.0,330467.0,333300.0,334800.0,334167.0,335467.0,336967.0,340933.0,343967.0,347596.0,350963.0,351629.0,351333.0,349633.0,352267.0,355933.0,360967.0,363333.0,365000.0,366333.0,369633.0,374300.0,379600.0,385967.0,392967.0,404000.0,414333.0,424333.0,431417.0,438383.0,445050.0,451567.0,456233.0,462867.0,468267.0,476633.0,486666.0,500000.0,510000.0,509975.0,501642.0,489975.0,481666.0,473333.0,466633.0,463300.0
11,11,"Boston, MA",503967.0,496267.0,496567.0,499600.0,499300.0,497667.0,498000.0,506666.0,524666.0,541300.0,549300.0,545967.0,536000.0,531300.0,529967.0,534967.0,533333.0,531333.0,536300.0,546300.0,556600.0,566300.0,574633.0,583000.0,583300.0,586633.0,591300.0,596333.0,596333.0,593333.0,598000.0,603000.0,614633.0,621633.0,628267.0,619933.0,609600.0,606267.0,612933.0,613266.0,613966.0,623966.0,648633.0,669300.0,682333.0,690967.0,695967.0,697967.0,689667.0,689667.0,691000.0,699000.0,699000.0,699333.0
12,12,"San Francisco, CA",894667.0,887667.0,887667.0,889667.0,872815.0,857481.0,862448.0,884633.0,911596.0,931259.0,934592.0,922963.0,899667.0,901333.0,911333.0,918000.0,906981.0,896981.0,913648.0,936333.0,954600.0,969933.0,981267.0,997333.0,998333.0,998167.0,998167.0,997167.0,981000.0,973333.0,971333.0,986333.0,994333.0,997667.0,998667.0,995333.0,987333.0,982667.0,982000.0,973333.0,945000.0,925333.0,939000.0,990000.0,1045667.0,1080667.0,1095000.0,1075000.0,1043000.0,1027667.0,1016000.0,1014667.0,981333.0,964333.0
13,13,"Riverside, CA",389816.0,389333.0,387667.0,387277.0,385943.0,385943.0,386633.0,389967.0,394300.0,397333.0,398967.0,399600.0,399600.0,397967.0,397167.0,395833.0,395833.0,395930.0,397563.0,400646.0,401383.0,404750.0,409966.0,419933.0,429600.0,436300.0,442667.0,446333.0,449667.0,451667.0,456667.0,463333.0,474965.0,486298.0,496265.0,502967.0,506633.0,513333.0,519667.0,528000.0,531333.0,533333.0,536667.0,546667.0,561333.0,574667.0,581333.0,580833.0,575833.0,570833.0,564667.0,558000.0,553000.0,550000.0
14,14,"Detroit, MI",220333.0,215333.0,208333.0,203000.0,196300.0,192933.0,189900.0,193267.0,203300.0,216633.0,226633.0,229933.0,228267.0,224767.0,218133.0,209833.0,202000.0,195000.0,191667.0,194667.0,204167.0,217131.0,228465.0,235931.0,237933.0,234717.0,229750.0,224750.0,218267.0,213267.0,214633.0,221000.0,229333.0,236333.0,243000.0,245000.0,241667.0,233667.0,226667.0,218000.0,209333.0,199300.0,194633.0,198300.0,211633.0,229633.0,244300.0,251000.0,251000.0,246300.0,239633.0,229966.0,219666.0,211300.0
15,15,"Seattle, WA",514667.0,511333.0,510000.0,510000.0,504983.0,499983.0,509983.0,526333.0,547983.0,557967.0,558300.0,553300.0,546317.0,546300.0,546300.0,548300.0,543229.0,536562.0,540896.0,552633.0,564317.0,571650.0,580000.0,590000.0,593333.0,593333.0,588333.0,581633.0,569633.0,562967.0,568000.0,581333.0,603000.0,617983.0,633317.0,634650.0,631333.0,628000.0,626667.0,620000.0,604667.0,604667.0,629667.0,671667.0,713333.0,738333.0,750000.0,746642.0,736625.0,724958.0,711317.0,697967.0,679617.0,663283.0
16,16,"Minneapolis, MN",308192.0,303225.0,299996.0,299963.0,303263.0,309900.0,318267.0,324933.0,327633.0,327633.0,324333.0,321633.0,318300.0,316600.0,313267.0,313266.0,314633.0,318000.0,322967.0,326600.0,329900.0,329933.0,331267.0,331267.0,330933.0,327967.0,324333.0,319633.0,316267.0,314933.0,318300.0,322467.0,325800.0,326726.0,329259.0,330926.0,330000.0,326667.0,323333.0,319167.0,310800.0,307433.0,311600.0,326633.0,340000.0,351667.0,358817.0,363817.0,363783.0,359967.0,354933.0,349933.0,344900.0,341267.0
17,17,"San Diego, CA",666000.0,657667.0,651333.0,649333.0,649000.0,649000.0,649300.0,652633.0,662633.0,674300.0,680967.0,680300.0,677000.0,677300.0,676633.0,677967.0,677817.0,676117.0,676417.0,681600.0,683133.0,689500.0,697500.0,712633.0,712967.0,706633.0,699983.0,699649.0,704616.0,704633.0,713267.0,718300.0,734967.0,746520.0,761520.0,769853.0,776633.0,776633.0,781600.0,784615.0,787948.0,790981.0,804000.0,825633.0,852633.0,876300.0,892667.0,891000.0,874667.0,858333.0,850000.0,850000.0,850000.0,858333.0
18,18,"Tampa, FL",250600.0,249600.0,247967.0,247300.0,246633.0,246633.0,247000.0,247967.0,252933.0,258233.0,263267.0,264933.0,263300.0,261633.0,259633.0,259600.0,259567.0,259867.0,259867.0,260900.0,262633.0,265667.0,268667.0,270833.0,272833.0,275467.0,278300.0,279900.0,278567.0,276900.0,276633.0,281300.0,289633.0,301600.0,311300.0,320967.0,325967.0,331300.0,334933.0,341600.0,346567.0,350600.0,355633.0,364000.0,379667.0,394667.0,409633.0,416500.0,416500.0,412867.0,406300.0,402583.0,397917.0,394583.0
19,19,"Denver, CO",453300.0,450000.0,448333.0,445833.0,445500.0,447167.0,453000.0,459967.0,468267.0,471955.0,472822.0,469522.0,465500.0,461300.0,457098.0,456515.0,458182.0,464700.0,474342.0,479375.0,485392.0,485492.0,490492.0,490158.0,491300.0,487967.0,484967.0,478300.0,474933.0,476600.0,486633.0,500000.0,514967.0,528300.0,542600.0,552300.0,555800.0,558133.0,558467.0,563300.0,561667.0,568333.0,579667.0,599332.0,619298.0,636298.0,646300.0,642967.0,632967.0,621633.0,611667.0,604667.0,598000.0,596333.0
20,20,"St. Louis, MO",203150.0,202983.0,201467.0,201433.0,198933.0,197300.0,197333.0,203333.0,211667.0,220000.0,223300.0,222967.0,220967.0,218150.0,216783.0,215250.0,213433.0,208467.0,210088.0,215421.0,224738.0,228317.0,230950.0,232800.0,232767.0,230800.0,227967.0,224667.0,220000.0,216667.0,213300.0,209933.0,211567.0,214933.0,218300.0,215000.0,211633.0,206633.0,203267.0,196633.0,189933.0,183450.0,185417.0,193783.0,208633.0,220000.0,228300.0,229933.0,228267.0,226633.0,225000.0,221633.0,213300.0,204933.0
21,21,"Baltimore, MD",306666.0,303300.0,299933.0,296067.0,289400.0,281067.0,278100.0,283133.0,294500.0,307967.0,316267.0,319267.0,315967.0,309333.0,303300.0,298967.0,293967.0,288917.0,288217.0,294850.0,303233.0,310641.0,315641.0,320641.0,319933.0,316633.0,310667.0,305633.0,298933.0,293267.0,291633.0,300000.0,311667.0,325000.0,329967.0,331633.0,328300.0,326633.0,319967.0,311633.0,303000.0,297983.0,297983.0,306650.0,324667.0,341300.0,349633.0,349933.0,346600.0,341567.0,334933.0,329967.0,321667.0,311667.0
22,22,"Charlotte, NC",304648.0,304500.0,302467.0,302133.0,297967.0,294667.0,294967.0,296633.0,304967.0,311667.0,318300.0,316633.0,313283.0,308950.0,305583.0,302267.0,299967.0,299333.0,299333.0,302333.0,305667.0,311875.0,317208.0,323708.0,325642.0,323975.0,321058.0,319583.0,316583.0,318195.0,321528.0,330325.0,339097.0,345730.0,349932.0,349966.0,349966.0,351633.0,356600.0,357300.0,355633.0,355313.0,357979.0,366313.0,374000.0,382333.0,387300.0,387967.0,386300.0,382333.0,378083.0,374583.0,368250.0,361500.0
23,23,"Orlando, FL",289267.0,287633.0,285000.0,283967.0,282300.0,281633.0,280666.0,283666.0,287950.0,293613.0,296947.0,299297.0,299300.0,298188.0,294855.0,294522.0,295300.0,296900.0,295900.0,296233.0,296333.0,296333.0,296333.0,298000.0,299633.0,299966.0,299966.0,299966.0,299933.0,299267.0,298467.0,298467.0,305800.0,316300.0,328000.0,334733.0,341067.0,346067.0,352333.0,355633.0,358617.0,361517.0,368550.0,380233.0,393333.0,407000.0,417333.0,423333.0,424000.0,424000.0,422000.0,419633.0,414633.0,411300.0
24,24,"San Antonio, TX",268100.0,266433.0,263233.0,261433.0,259467.0,258030.0,258197.0,261530.0,267967.0,272933.0,274933.0,273967.0,271975.0,268642.0,265186.0,263844.0,263724.0,264813.0,266346.0,269767.0,274466.0,277966.0,282300.0,285800.0,288800.0,287833.0,284500.0,279833.0,276500.0,275000.0,278333.0,280667.0,285633.0,287749.0,293749.0,300965.0,308850.0,313850.0,313500.0,310167.0,307833.0,309333.0,314300.0,319967.0,329967.0,340000.0,351500.0,356500.0,356467.0,351633.0,344957.0,339990.0,335657.0,332000.0
25,25,"Portland, OR",450300.0,445633.0,443967.0,444967.0,446300.0,444633.0,444600.0,444900.0,448267.0,449933.0,449933.0,449600.0,446967.0,443667.0,438667.0,434667.0,434333.0,436000.0,442333.0,445967.0,449600.0,451600.0,456633.0,460000.0,461633.0,461633.0,464958.0,468324.0,471658.0,471666.0,473333.0,474750.0,484417.0,497750.0,512142.0,520808.0,524108.0,524967.0,524967.0,525000.0,521633.0,521617.0,521617.0,529650.0,538000.0,552667.0,564633.0,570967.0,564633.0,556300.0,548300.0,543300.0,538333.0,533333.0
